,Genome,Reviews,Amazon,VariousImg,Music,BookReviews,Tiktok,Laion
feature extraction time,0.001193168000122369,0.0038921983171280525,0.0018789923049115185,0.0020707650410988787,0.0018191427330472244,0.001978630722071246,0.002467272015141893,0.006323379998634779
prediction time,0.20376933597216096,2.8486453342280775,0.3911305629825167,0.2661274544646381,0.3609898451711759,0.2202796607083819,0.3288784127444479,0.20184310740244582
